;Numer.......................................wpisu;Imiê.i.nazwisko.lub.nazwa.inwestora;Data.wpisu;Adres;Rodzaj;opis;typ;Data.wniosku;Nr...............wniosku;Nr...............decyzji;Data.decyzji;Rok.wniosku;Miesi¹c.wniosku;data;Czas.rozpatrzenia;lon;lat
1;1;;;Trwa³a 7 ;bud.biurowe;przebud lokalu us³ugowego na kawiarenkê internetow¹ w parterze ;przebudowa;2008-12-13;46486/08;09-sty;2009-01-02;2008;12;2008-12-01;15;17,0243809;51,0933919
2;2;;;Ruska 37-38 ;bud.handlowo-uslugowe;przebud pomieszczeñ w piwnicy budynku na salê bankietow¹;nowe;2008-10-14;39224/08;09-lut;2009-01-02;2008;10;2008-10-01;59;17,023667;51,1108
3;3;;;Platanowa Aleja 4 ;bud.biurowe;bud przy³¹czy telekomunik do bud a i  b firmy;przy³¹cze;2008-11-20;43487/08;09-mar;2009-01-02;2008;11;2008-11-01;32;16,8503851;51,145093
4;4;;;Szewska 8 ;bud.o trzech i wiêcej mieszkaniach;przebudowa 1 piêtra budynku biurowo-us³ugowego;przebudowa;2008-12-08;45714/08;09-kwi;2009-01-02;2008;12;2008-12-01;20;17,034367;51,1090449
5;5;;;Malarska 30 ;bud.o trzech i wiêcej mieszkaniach;remont dachu;remont;2008-10-31;41477/08;09-maj;2009-01-02;2008;10;2008-10-01;46;17,0303429;51,112462
6;6;;;¯ernicka 205 ;bud.mieszkalne jednorodzinne;bud budynku mieszkalnego jednorodzinnego;nowe;2008-11-07;42298/08;09-sty;2009-01-05;2008;11;2008-11-01;42;16,925939;51,12323
7;7;;;Rogowska 5 ;bud.przemys³owe;nadbudowa budynku zespo³u warsztatów  i magazynu;rozbudowa;2008-11-25;44110/08;09-lut;2009-01-05;2008;11;2008-11-01;30;16,955736;51,118556
8;8;;;O³awska 4;bud.o trzech i wiêcej mieszkaniach;umorzenie post.;przebudowa;2008-10-28;41030/08;09-lut;2009-01-05;2008;10;2008-10-01;50;17,0344929;51,108813
9;9;;;Krzywickiego Ludwika 4-6 ;bud.o trzech i wiêcej mieszkaniach;zespo³u budynkow wielorodzinnych w zabud bli¿niacz;nowe;2008-08-12;31316/08;09-mar;2009-01-05;2008;8;2008-08-01;105;17,0739568;51,1247702
10;10;;;Jeziorowa 25A ;bud.mieszkalne jednorodzinne;rozbud budynku mieszkalnego jednorodzinnego;rozbudowa;2008-12-10;45986/08;09-cze;2009-01-05;2008;12;2008-12-01;19;17,1020873;51,1632004
11;11;;;Kar³owicza Mieczys³awa 25A ;bud.mieszkalne jednorodzinne;przy³¹cze kablowe do zasilania budynku jednorodzinnego;przy³¹cze;2008-12-22;47368/08;09-lip;2009-01-05;2008;12;2008-12-01;11;17,0881103;51,1208722
12;12;;;Strachowice;bud.mieszkalne jednorodzinne;bud domu jednorodzinnego wolno stoj¹cego;nowe;2008-11-28;44710/08;09-sie;2009-01-05;2008;11;2008-11-01;27;16,9050009;51,104017
13;13;;;Pauliñska 13 ;bud.o trzech i wiêcej mieszkaniach;przebudowa i remont budynku mieszkalnego;przebudowa;2008-12-04;45344/08;09-wrz;2009-01-05;2008;12;2008-12-01;23;17,0345556;51,1202645
14;14;;;O³awska 4;bud.o trzech i wiêcej mieszkaniach;umorzenie post.;przebudowa;2008-10-28;41029/08;09-mar;2009-01-06;2008;10;2008-10-01;51;17,0344929;51,108813
15;15;;;Grunwaldzka 12A ;bud.o trzech i wiêcej mieszkaniach;remont i ocieplenie elewcji;przebudowa;2008-11-13;42681/08;09-kwi;2009-01-06;2008;11;2008-11-01;39;17,056404;51,1152231
16;16;;;Jednoœci Narodowej 156 ;bud.handlowo-uslugowe;umarzam postêpowanie-stacja paliw;nowe;2008-11-07;42402/08;09-kwi;2009-01-06;2008;11;2008-11-01;43;17,0468187;51,1263085
17;17;;;Widok 3;bud.o trzech i wiêcej mieszkaniach;przebudowa lokalu;przebudowa;2008-12-18;47105/08;09-paŸ;2009-01-06;2008;12;2008-12-01;14;17,032874;51,1066379
18;18;;;Maczka Stanis³awa Genera³a 7A;bud.o trzech i wiêcej mieszkaniach;rozbudowa lokalu mieszkal.w budynku wielorodzinnym;przebudowa;2008-06-26;25063/08;09-lis;2009-01-06;2008;6;2008-06-01;139;17,007989;51,0555708
