"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"22000";1990;"";"";"Wieczysta 167 ";"bud.o trzech i wiêcej mieszkaniach";"remont elewacji budynku wielorodzinnego";"remont";"2015-07-14";"23295/15";"3837/15";"2015-07-23";2015;7;"2015-07-01";8;"2015_07";"Lato";17,043742;51,085986
"22001";1991;"";"";"RzeŸnicza  28 ";"bud.biurowe";"przebudowa lokalu us³ugowego w budynku us³ugowym na lokal gstronomiczny";"przebudowa";"2015-06-08";"18358/15";"3841/15";"2015-07-23";2015;6;"2015-06-01";34;"2015_06";"Lato";17,0280499;51,1109855
"22002";1992;"";"";"Orawska  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa sieci gazowej";"nowe";"2015-06-17";"19636/15";"3842/15";"2015-07-23";2015;6;"2015-06-01";27;"2015_06";"Lato";17,0228816;51,065739
"22003";1993;"";"";"Na Grobli  20 ";"bud.hoteli";"budowa zespo³u zabudowy hotelowo-biurowej";"nowe";"2015-05-20";"16209/15";"3843/15";"2015-07-24";2015;5;"2015-05-01";48;"2015_05";"Wiosna";17,0624593;51,1035948
"22004";1994;"";"";"Gorlicka 24 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego";"nowe";"2015-04-24";"13028/15";"3849/15";"2015-07-24";2015;4;"2015-04-01";66;"2015_04";"Wiosna";17,1160168;51,1454616
"22005";1995;"";"";"So³tysowicka  61 ";"bud.mieszkalne jednorodzinne";"przebudowa dachu budynku mieszkalnego";"przebudowa";"2015-04-28";"13439/15";"3851/15";"2015-07-24";2015;4;"2015-04-01";64;"2015_04";"Wiosna";17,076084;51,1494784
"22006";1996;"";"";"Zaj¹czkowska  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"budowa stacji transfromatorowej kontenerowej,linii kablowych œr i n/n,sieci wodoc. ,oœwietlenia ulicznego";"nowe";"2015-05-18";"15745/15";"3854/15";"2015-07-24";2015;5;"2015-05-01";50;"2015_05";"Wiosna";16,9798261;51,1875947
"22007";1997;"";"";"Obornicka 131 ";"ruroci¹gi kanalizac.sieci rozdzielczej";"budowa odcinka sieci kanalizacji sanitarnej na terenie zakladu autobusowego";"nowe";"2015-06-23";"20430/15";"3855/15";"2015-07-24";2015;6;"2015-06-01";24;"2015_06";"Lato";17,0212529;51,1479329
"22008";1998;"";"";"Wincentego Œw. 17 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego-wykonanie nowego otworu w œcianie zewnêtrznej wielorodzinnego budynku mieszkalnego";"przebudowa";"2015-01-30";"2878/15";"3856/15";"2015-07-24";2015;1;"2015-01-01";126;"2015_01";"Zima";17,0332485;51,1224004
"22009";1999;"";"";"Hercena Aleksandra 7 ";"bud.o trzech i wiêcej mieszkaniach";"nadbudowa budynku wielorodzinnego";"przebudowa";"2015-06-24";"20485/15";"3859/15";"2015-07-24";2015;6;"2015-06-01";23;"2015_06";"Lato";17,0412524;51,102849
"22010";2000;"";"";"Czajkowskiego Piotra 34 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"przebudowa";"2015-04-24";"13105/15";"3861/15";"2015-07-24";2015;4;"2015-04-01";66;"2015_04";"Wiosna";17,0660778;51,1386343
"22011";2001;"";"";"Krasiñskiego Zygmunta 21 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-05-29";"17452/15";"3865/15";"2015-07-27";2015;5;"2015-05-01";42;"2015_05";"Wiosna";17,0429736;51,105914
"22012";2002;"";"";"Gliniana  39 ";"bud.o trzech i wiêcej mieszkaniach";"remont balkonów i elewacji wraz z dociepleniem budynku mieszkalnego wielorodzinnego";"remont";"2015-07-21";"24165/15";"3866/15";"2015-07-27";2015;7;"2015-07-01";5;"2015_07";"Lato";17,0358379;51,093319
"22013";2003;"";"";"Gliniana  41 ";"bud.o trzech i wiêcej mieszkaniach";"remon elewacji wraz z dociepleniem budyku wielorodzinnego";"remont";"2015-07-21";"24166/15";"3868/15";"2015-07-27";2015;7;"2015-07-01";5;"2015_07";"Lato";17,03607;51,0932679
"22014";2004;"";"";"Joannitów  8 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu i c.o.w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-06-09";"18702/15";"3871/15";"2015-07-27";2015;6;"2015-06-01";35;"2015_06";"Lato";17,036471;51,094138
"22015";2005;"";"";"Dubois Stanis³awa 16 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gau i c.o.w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-07-07";"22269/15";"3873/15";"2015-07-27";2015;7;"2015-07-01";15;"2015_07";"Lato";17,0309536;51,1176838
