;Numer.......................................wpisu;Imiê.i.nazwisko.lub.nazwa.inwestora;Data.wpisu;Adres;Rodzaj;opis;typ;Data.wniosku;Nr...............wniosku;Nr...............decyzji;Data.decyzji;Rok.wniosku;Miesi¹c.wniosku;data;Czas.rozpatrzenia;lon;lat
20401;391;;;Sudecka  80 ;bud.o trzech i wiêcej mieszkaniach;umorzenie postêpowania;zmiana spos.u¿ytk.;2014-12-12;39985/14;791/15;2015-02-19;2014;12;2014-12-01;50;17,017269;51,0885429
20402;392;;;Krakowska  98 ;bud.przemys³owe;umorzenie postêpowania;inst.wewnêtrzna;2014-12-22;41215/14;792/15;2015-02-19;2014;12;2014-12-01;44;17,0646001;51,0911347
20403;393;;;Krakowska  28 ;bud.biurowe;przebudowa poddasza;przebudowa;2014-12-22;41038/14;793/15;2015-02-19;2014;12;2014-12-01;44;17,059026;51,0948149
20404;394;;;Wagonowa  30 ;bud.przemys³owe;budowa instalacji zbiornikowej gazu;inst.wewnêtrzna;2014-12-22;41214/14;794/15;2015-02-19;2014;12;2014-12-01;44;16,988753;51,1123746
20405;395;;;Olszewskiego Karola  32 ;bud.o trzech i wiêcej mieszkaniach;monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym;inst.wewnêtrzna;2014-12-19;40921/14;795/15;2015-02-19;2014;12;2014-12-01;45;17,0956299;51,103661
20406;396;;;Smardzowska  ;ruroci¹gi kanalizac.sieci rozdzielczej;budowa sieci kanalizacji sanitarnej i kanalizacji deszczowej;nowe;2014-12-19;40942/14;797/15;2015-02-19;2014;12;2014-12-01;45;17,0414571;51,0558676
20407;397;;;Graniczna  ;bud.handlowo-uslugowe;budowa marketu wraz z instalacjami wewnêtrznymi;nowe;2014-12-30;41702/14;800/15;2015-02-20;2014;12;2014-12-01;39;16,9142661;51,1086735
20408;398;;;Grunwaldzki Plac  22 ;bud.biurowe;"przebudowa czêœci budynku centrum handlowego ""pasa¿ grunwaldzki""";przebudowa;2015-01-30;2870/15;802/15;2015-02-20;2015;1;2015-01-01;16;17,0590224;51,1126865
20409;399;;;Wyszyñskiego Stefana Kardyna³a 120 ;bud.o trzech i wiêcej mieszkaniach;wewnêtrzna instalacja gazu;inst.wewnêtrzna;2015-01-08;265/15;811/15;2015-02-20;2015;1;2015-01-01;32;17,0538234;51,1250125
20410;400;;;Wyœcigowa 56C ;bud.biurowe;budowa budynku biurowego;nowe;2015-01-12;526/15;816/15;2015-02-20;2015;1;2015-01-01;30;17,0072319;51,0648089
20411;401;;;Œwieradowska  14 ;bud.o trzech i wiêcej mieszkaniach;monta¿ instalacji gazu na przeniesienie kurka g³ównego do szafki gazowej;inst.wewnêtrzna;2015-01-30;2765/15;820/15;2015-02-20;2015;1;2015-01-01;16;17,0364009;51,0774199
20412;402;;;Kurkowa  43 ;bud.o trzech i wiêcej mieszkaniach;wewnêtrzna instalacja gazu;inst.wewnêtrzna;2015-01-28;2542/15;823/15;2015-02-20;2015;1;2015-01-01;18;17,0288224;51,120349
20413;403;;;Rynek  24 ;bud.o trzech i wiêcej mieszkaniach;remont dachu kamienicy;remont;2015-01-23;2082/15;825/15;2015-02-20;2015;1;2015-01-01;21;17,0320892;51,1091468
20414;404;;;Œwieradowska 14A ;bud.o trzech i wiêcej mieszkaniach;monta¿ instalacji gazu-przeniesienie kurka g³ównego do szafki gazowej na zewn¹trz budynku;inst.wewnêtrzna;2015-01-30;2766/15;826/15;2015-02-20;2015;1;2015-01-01;16;17,036435;51,0775389
20415;405;;;Pereca Icchaka Lejba  58  ;bud.o trzech i wiêcej mieszkaniach;przebudowa lokalu mieszkalnego w budynku mieszkalnym;przebudowa;2015-02-09;3700/15;827/15;2015-02-20;2015;2;2015-02-01;10;17,0033071;51,0955509
20416;406;;;Worcella Stanis³awa 6 ;bud.o trzech i wiêcej mieszkaniach;odmowa;remont;2014-12-29;41479/14;831/15;2015-02-23;2014;12;2014-12-01;41;17,0434414;51,104682
20417;407;;;Mys³akowicka  22 ;bud.mieszkalne jednorodzinne;budowa przy³¹cza gazu;przy³¹cze;2014-12-18;40709/14;833/15;2015-02-23;2014;12;2014-12-01;48;16,9014058;51,146067
20418;408;;;Brylantowa  ;linie elektroener.i telekom.rozdzielcz.;budowa linii kablowej;nowe;2014-12-19;40914/14;834/15;2015-02-23;2014;12;2014-12-01;47;17,0278694;51,0490594
20419;409;;;Koœciuszki Tadeusza 188 ;bud.o trzech i wiêcej mieszkaniach;wykonanie wentylacji grawitacyjnej toalety;przebudowa;2015-01-14;900/15;835/15;2015-02-23;2015;1;2015-01-01;29;17,0549338;51,0977518
20420;410;;;Jadwigi Œw.  12 ;bud.szkó³ i instytucji badawczych;przebudowa czêœci budynku uczelni techniczno-handlowej;przebudowa;2015-01-14;1015/15;836/15;2015-02-23;2015;1;2015-01-01;29;17,040137;51,1146453
20421;411;;;Klasztorna  ;linie elektroener.i telekom.rozdzielcz.;umorzenie postêpowania;nowe;2015-01-23;2040/15;838/15;2015-02-23;2015;1;2015-01-01;22;17,0442231;51,0605968
20422;412;;;Curie-Sk³odowskiej Marii  11 ;bud.o trzech i wiêcej mieszkaniach;przebudowa lokalu mieszkalnego;przebudowa;2014-12-29;41501/14;839/15;2015-02-23;2014;12;2014-12-01;41;17,0575471;51,1118176
20423;413;;;Grybowska  26 ;bud.mieszkalne jednorodzinne;monta¿ wewnêtrznej instalacji gazu w budynku;inst.wewnêtrzna;2015-01-09;393/15;840/15;2015-02-23;2015;1;2015-01-01;32;16,885192;51,137223
20424;414;;;Komuny Paryskiej  47 ;bud.o trzech i wiêcej mieszkaniach;monta¿ kot³a gazowego i instalacji c.o.;inst.wewnêtrzna;2015-01-27;2295/15;842/15;2015-02-23;2015;1;2015-01-01;20;17,046942;51,101541
20425;415;;;Boles³awa Krzywoustego  73 ;bud.o trzech i wiêcej mieszkaniach;odmowa;inst.wewnêtrzna;2014-12-31;41852/14;844/15;2015-02-23;2014;12;2014-12-01;39;17,07594;51,138025
20426;416;;;Lipa Piotrowska;bud.o dwóch mieszkaniach;budowa 2  budynków jednorodzinnych;nowe;2014-12-31;41866/14;851/15;2015-02-24;2014;12;2014-12-01;40;16,9932025;51,1756961
20427;417;;;Wyspiañskiego Stan.Wyb.  ;;zagospodarowanie terenu sportowo-rekreacyjnego wraz z boiskiem; ÿÿ;2015-01-13;716/15;852/15;2015-02-24;2015;1;2015-01-01;31;17,0385376;51,1078852
20428;418;;;Kwiatkowskiego Eugeniusza  ;zbiorniki,silosy i bud.magazynowe;budowa budynku magazynowego;nowe;2014-12-08;39403/14;854/15;2015-02-24;2014;12;2014-12-01;57;16,9575652;51,0648122
20429;419;;;Kwiatkowskiego Eugeniusza  ;zbiorniki,silosy i bud.magazynowe;budowa budynku magazynowego;nowe;2014-12-08;39402/14;855/15;2015-02-24;2014;12;2014-12-01;57;16,9575652;51,0648122
20430;420;;;Grota-Roweckiego Stefana Gen.  39 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2014-11-26;38090/14;856/15;2015-02-24;2014;11;2014-11-01;65;17,0317771;51,0661604
20431;421;;;Strzegomska 246  ;ulice i drogi pozosta³e;parking z miejscami postojowymi dla samochodów osobowych;nowe;2015-01-26;2216/15;858/15;2015-02-24;2015;1;2015-01-01;22;16,9576329;51,110307
20432;422;;;Szewska  63 ;bud.o trzech i wiêcej mieszkaniach;remont i przebudowa lokalu u¿ytkowego na parterze oraz pomieszczeñ w piwnicy wraz ze zmian¹ sposobu u¿ytkowania na lokal handlowy w budynku wielorodzinnym;przebudowa;2014-10-24;34608/14;860/15;2015-02-24;2014;10;2014-10-01;88;17,0347869;51,1110229
20433;423;;;Szymanowskiego Karola  11 ;bud.zbiorowego zamieszkania;przebudowa istniej¹cej kot³owni olejowej na ko³towniê opalan¹ gazem ziemnym wraz z instalacjê gazow¹ od skrzynki g³ównej do kot³owni w budynku polic.izby dziecka;przebudowa;2014-12-23;41410/14;861/15;2015-02-24;2014;12;2014-12-01;46;17,0841203;51,1185226
20434;424;;;Kaszubska 8 ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalno-us³ugowego;nowe;2014-12-17;40503/14;862/15;2015-02-24;2014;12;2014-12-01;50;17,029152;51,120368
20435;425;;;Partynicka 27-27A ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalno-us³ugowego;nowe;2015-01-05;140/15;864/15;2015-02-24;2015;1;2015-01-01;37;16,9932139;51,063927
20436;426;;;Lompy Józefa  10 ;bud.o trzech i wiêcej mieszkaniach;umorzenie;przebudowa;2014-04-07;10996/14;867/15;2015-02-24;2014;4;2014-04-01;232;17,0545594;51,1237985
20437;427;;;Szybowcowa  66-74 ;bud.o trzech i wiêcej mieszkaniach;docieplenie i kolorystyka  budynków wielorodzinnych;remont;2015-02-18;5024/15;870/15;2015-02-24;2015;2;2015-02-01;5;16,9620681;51,1306432
20438;428;;;Rzemieœlnicza  ;ruroci¹gi wodoci¹g.sieci rozdzielczej;budowa sieci wodoci¹gowej;nowe;2014-12-22;41202/14;873/15;2015-02-24;2014;12;2014-12-01;47;17,007757;51,1709639
20439;429;;;S³owiañska  19 ;bud.o trzech i wiêcej mieszkaniach;monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym;inst.wewnêtrzna;2015-02-06;3552/15;874/15;2015-02-24;2015;2;2015-02-01;13;17,0413086;51,1235048
20440;430;;;Swojczycka  21 ;linie telekomunikacyjne dalek.zasiêgu;umorzenie;nowe;2014-11-27;38277/14;876/15;2015-02-25;2014;11;2014-11-01;65;17,1142256;51,1148745
20441;431;;;Ko³³¹taja Hugona  34-35 ;bud.o trzech i wiêcej mieszkaniach;odmowa;przebudowa;2015-01-09;442/15;881/15;2015-02-25;2015;1;2015-01-01;34;17,037514;51,1034591
20442;432;;;PrzyjaŸni 105 ;bud.o trzech i wiêcej mieszkaniach;przebudowa lokalu mieszkalnego nr 12 w budynku wielorodzinnym;przebudowa;2015-02-16;4718/15;887/15;2015-02-25;2015;2;2015-02-01;8;16,9959079;51,0670121
20443;433;;;BliŸniacza  18 ;linie elektroener.i telekom.rozdzielcz.;budowa linii kablowych nn dla zasilania budynku;nowe;2014-12-22;41183/14;888/15;2015-02-25;2014;12;2014-12-01;48;16,9575709;51,097501
20444;434;;;Podwale  70 ;bud.o trzech i wiêcej mieszkaniach;monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym nr 16 w budynku wielorodzinnym;inst.wewnêtrzna;2015-02-03;3174/15;889/15;2015-02-25;2015;2;2015-02-01;17;17,0410939;51,1034019
20445;435;;;Wincentego Œw.  41 ;bud.o trzech i wiêcej mieszkaniach;monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym nr 3 w budynku wielorodzinnym;inst.wewnêtrzna;2015-01-28;2472/15;891/15;2015-02-25;2015;1;2015-01-01;21;17,0365882;51,1228484
20446;436;;;Krucza  89 ;bud.o trzech i wiêcej mieszkaniach;monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym;inst.wewnêtrzna;2015-01-14;963/15;892/15;2015-02-25;2015;1;2015-01-01;31;16,9978589;51,094051
