"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"15943";2499;"";"";"Tomaszowska 8 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym";"inst.wewnêtrzna";"2013-07-26";"23859/13";"4959/13";"2013-10-08";2013;7;"2013-07-01";53;17,039193;51,090252
"15944";2500;"";"";"Komandorska  16 ";"bud.biurowe";"przebudowa pomieszczen s¹du";"przebudowa";"2013-09-30";"31192/13";"4960/13";"2013-10-08";2013;9;"2013-09-01";7;17,0308306;51,0992843
"15945";2501;"";"";"Mydlana  ";"bud.biurowe";"budowa budynku biurowego";"nowe";"2013-07-15";"22309/13";"4961/13";"2013-10-08";2013;7;"2013-07-01";62;17,1151759;51,1186958
"15946";2502;"";"";"Grunwaldzki Plac  23/27 ";"bud.biurowe";"przebudowa istniejacych pomieszczeñ biurowych";"przebudowa";"2013-09-27";"30847/13";"4964/13";"2013-10-08";2013;9;"2013-09-01";8;17,0638543;51,112151
"15947";2503;"";"";"Dalimira  ";"bud.mieszkalne jednorodzinne";"budowa budynku  jednorodzinnego";"nowe";"2013-07-11";"21924/13";"4966/13";"2013-10-08";2013;7;"2013-07-01";64;16,9713038;51,1970672
"15948";2504;"";"";"Piwnika-Ponurego Jana Mjr  79 ";"bud.o trzech i wiêcej mieszkaniach";"remont i przebudowa elewacji budynku";"remont";"2013-08-08";"25286/13";"4971/13";"2013-10-09";2013;8;"2013-08-01";45;17,0385376;51,1078852
"15949";2505;"";"";"£owiecka  24 ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"instalacja odsiarczania";"nowe";"2013-06-07";"17506/13";"4975/13";"2013-10-09";2013;6;"2013-06-01";89;17,0272982;51,1250388
"15950";2506;"";"";"Nowowiejska 80A ";"bud.szkó³ i instytucji badawczych";"umorzenie";"remont";"2013-09-05";"28391/13";"4977/13";"2013-10-09";2013;9;"2013-09-01";25;17,056838;51,120525
"15951";2507;"";"";"Oleœnicka  22 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu us³ugowego";"przebudowa";"2013-05-27";"16162/13";"4980/13";"2013-10-09";2013;5;"2013-05-01";98;17,046038;51,1210759
"15952";2508;"";"";"Rajska  42 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnetrznej instalacji gazu";"inst.wewnêtrzna";"2013-09-27";"30981/13";"4981/13";"2013-10-09";2013;9;"2013-09-01";9;16,8937439;51,1413089
"15953";2509;"";"";"Piêkna  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej nn od stacji transformatorowej";"nowe";"2013-08-05";"24781/13";"4982/13";"2013-10-09";2013;8;"2013-08-01";48;17,0544352;51,0849709
"15954";2510;"";"";"Redycka 1";"bud.o trzech i wiêcej mieszkaniach";"przebudowa wewnetrznej istalacji gazu w lokalu mieszkalnym";"przebudowa";"2013-08-16";"26154/13";"4985/13";"2013-10-09";2013;8;"2013-08-01";39;17,0753142;51,1492456
"15955";2511;"";"";"Desantowa 5 ";"bud.mieszkalne jednorodzinne";"instalacja gazu";"inst.wewnêtrzna";"2013-08-27";"27216/13";"4992/13";"2013-10-09";2013;8;"2013-08-01";32;16,896973;51,106001
"15956";2512;"";"";"Powstañców Œl¹skich 192 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa czêœci klatki schodowej w budynku wielorodzinnym";"przebudowa";"2013-09-23";"30279/13";"4994/13";"2013-10-09";2013;9;"2013-09-01";13;17,009501;51,0803639
"15957";2513;"";"";"Tulipanowa  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"budowa sieci wodociagów ,kanalizacji sanitarnej";"nowe";"2013-08-14";"25995/13";"4996/13";"2013-10-10";2013;8;"2013-08-01";42;17,0297891;51,0600445
"15958";2514;"";"";"Prusa Boles³awa 2 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu gastronomicznym w budynku mieszkalnym wielorodzinnym";"inst.wewnêtrzna";"2013-09-17";"29688/13";"4999/13";"2013-10-10";2013;9;"2013-09-01";18;17,0407568;51,1187779
"15959";2515;"";"";"Raszowska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego";"nowe";"2013-08-08";"25276/13";"5001/13";"2013-10-10";2013;8;"2013-08-01";46;17,0416803;51,1618093
"15960";2516;"";"";"Berenta Wac³awa  66 ";"bud.o trzech i wiêcej mieszkaniach";"budowa instalacji gazowej wewnêtrznej dla lokalu mieszkalnego";"inst.wewnêtrzna";"2013-08-22";"26700/13";"5002/13";"2013-10-10";2013;8;"2013-08-01";36;17,0596158;51,1381614
"15961";2517;"";"";"Motylkowa  62 ";"bud.mieszkalne jednorodzinne";"budynek mieszkalny jednorodzinny";"nowe";"2013-08-22";"26777/13";"5003/13";"2013-10-10";2013;8;"2013-08-01";36;17,0247149;51,0625445
"15962";2518;"";"";"Mokrzañska  28";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2013-09-02";"27835/13";"5005/13";"2013-10-10";2013;9;"2013-09-01";29;16,854686;51,150399
"15963";2519;"";"";"Stalowa  85 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa balkonów w budynku mieszkalnym";"przebudowa";"2013-08-19";"26344/13";"5007/13";"2013-10-10";2013;8;"2013-08-01";39;16,999997;51,1021859
"15964";2520;"";"";"Gromadzka  20";"bud.mieszkalne jednorodzinne";"montaz instalacji gazu";"inst.wewnêtrzna";"2013-08-19";"26287/13";"5008/13";"2013-10-10";2013;8;"2013-08-01";39;16,854719;51,129165
"15965";2521;"";"";"Sukielicka 7 ";"bud.mieszkalne jednorodzinne";"rozbudowa,nadbudowa i przebudowa budynku jednorodzinnego";"rozbudowa";"2013-09-17";"29744/13";"5009/13";"2013-10-10";2013;9;"2013-09-01";18;16,94274;51,119552
"15966";2522;"";"";"Mokrzañska  26";"bud.o trzech i wiêcej mieszkaniach";"montaz wewnetrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2013-09-02";"27834/13";"5011/13";"2013-10-10";2013;9;"2013-09-01";29;16,854917;51,150338
"15967";2523;"";"";"P³u¿na  ";"bud.mieszkalne jednorodzinne";"budynek mieszkalny jednorodzinny";"nowe";"2013-07-26";"23820/13";"5012/13";"2013-10-10";2013;7;"2013-07-01";55;16,87157;51,1219037
"15968";2524;"";"";"Su³owska  ";"bud.handlowo-uslugowe";"odmowa";"nowe";"2013-08-07";"25175/13";"5019/13";"2013-10-10";2013;8;"2013-08-01";47;17,0230649;51,1718184
"15969";2525;"";"";"Gdañska  18";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2013-09-13";"29270/13";"5022/13";"2013-10-10";2013;9;"2013-09-01";20;17,063852;51,117045
"15970";2526;"";"";"Mêciñskiego Wojciecha  25 ";"bud.o dwóch mieszkaniach";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2013-07-15";"22261/13";"5024/13";"2013-10-10";2013;7;"2013-07-01";64;16,9879372;51,087645
"15971";2527;"";"";"P³u¿na  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego";"nowe";"2013-08-14";"25897/13";"5025/13";"2013-10-10";2013;8;"2013-08-01";42;16,87157;51,1219037
"15972";2528;"";"";"Ogórkowa  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa gazoci¹gu niskiego ciœnienie w ulicy";"nowe";"2013-09-11";"28945/13";"5026/13";"2013-10-10";2013;9;"2013-09-01";22;16,9758397;51,0664492
"15973";2529;"";"";"Grabiszyñska 307 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2013-08-13";"25805/13";"5027/13";"2013-10-10";2013;8;"2013-08-01";43;16,9775329;51,092892
"15974";2530;"";"";"Promenada  15-17 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ kot³owni gazowej w budynku mieszkalnym wielorodzinnym";"inst.wewnêtrzna";"2013-08-21";"26638/13";"5029/13";"2013-10-11";2013;8;"2013-08-01";38;16,8734389;51,1407479
"15975";2531;"";"";"Awicenny Ibn Siny  16 ";"bud.przemys³owe";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2013-10-07";"31962/13";"5030/13";"2013-10-11";2013;10;"2013-10-01";5;16,950452;51,0922569
"15976";2532;"";"";"Szczêœliwa  4A ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2013-08-29";"27438/13";"5032/13";"2013-10-11";2013;8;"2013-08-01";32;17,008385;51,0992899
