"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"13401";3460;"";"2012-12-20";"Stab³owicka 71";"bud.mieszkalne jednorodzinne";"rozbudowa ,nadbudowa i przebudowa budynku mieszkalnego";"rozbudowa";"2012-11-07";"37970/12";"gru-93";"2012-12-20";2012;11;"2012-11-01";32;16,8945729;51,1608499
"13402";3461;"";"2012-12-20";"Sienna";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2012-10-09";"34651/12";"gru-94";"2012-12-20";2012;10;"2012-10-01";53;17,1255065;51,1367338
"13403";3462;"";"2012-12-20";"Berenta Wac³awa 26";"bud.o trzech i wiêcej mieszkaniach";"przebudowa kot³owni z zasilania paliwem olejowym na zasilanie gazem ziemnym w budynku mieszkalno-us³ugowym";"przebudowa";"2012-09-21";"32655/12";"gru-96";"2012-12-20";2012;9;"2012-09-01";65;17,0574573;51,1359021
"13404";3463;"";"2012-12-20";"Nadolicka7 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolnostoj¹cego";"nowe";"2012-11-26";"40206/12";"gru-97";"2012-12-20";2012;11;"2012-11-01";19;17,0385376;51,1078852
"13405";3464;"";"2012-12-20";"Prusa Boles³awa 102";"bud.o trzech i wiêcej mieszkaniach";"remont wewnêtrznej instalacji c.o";"inst.wewnêtrzna";"2012-10-31";"37371/12";"gru-00";"2012-12-20";2012;10;"2012-10-01";37;17,058636;51,121529
"13406";3465;"";"2012-12-20";"Goetla Walerego 11";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2012-08-24";"29411/12";"gru-01";"2012-12-20";2012;8;"2012-08-01";85;17,0260138;51,0534018
"13407";3466;"";"2012-12-20";"Stanis³awowska 68";"bud.o trzech i wiêcej mieszkaniach";"przebudowa wewnetrznej instalacji gazu";"przebudowa";"2012-12-18";"42962/12";"gru-02";"2012-12-20";2012;12;"2012-12-01";3;16,94512;51,09782
"13408";3467;"";"2012-12-20";"Jelenia 20";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2012-11-06";"37814/12";"gru-04";"2012-12-20";2012;11;"2012-11-01";33;16,997588;51,12423
"13409";3468;"";"2012-12-20";"Oliwkowa";"linie elektroener.i telekom.rozdzielcz.";"budowa elektroenergetycznej linii kablowej nn wraz ze z³¹czami kablowymi dla zasilania budynków mieszkalnych wielorodzinnych";"nowe";"2012-10-11";"34988/12";"gru-08";"2012-12-20";2012;10;"2012-10-01";51;16,8945633;51,15665
"13410";3469;"";"2012-12-21";"Gajowicka 147A";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnetrznej instalacji gazu i co w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2012-12-11";"41980/12";"gru-12";"2012-12-21";2012;12;"2012-12-01";9;17,006811;51,089872
"13411";3470;"";"2012-12-21";"Dembowskiego Edwarda 11 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"remont";"2012-10-31";"37294/12";"gru-13";"2012-12-21";2012;10;"2012-10-01";38;17,0859916;51,1066865
"13412";3471;"";"2012-12-21";"Jeziorowa";"ruroci¹gi gazu sieci rozdzielczej";"budowa sieci gazociagowej dla potrzeb budynku mieszkalnego";"nowe";"2012-11-14";"38830/12";"gru-14";"2012-12-21";2012;11;"2012-11-01";28;17,1022629;51,1642723
"13413";3472;"";"2012-12-21";"Karmelkowa 83";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2012-11-26";"40120/12";"gru-17";"2012-12-21";2012;11;"2012-11-01";20;16,975215;51,065297
"13414";3473;"";"2012-12-21";"Mr¹gowska 78";"linie elektroener.i telekom.rozdzielcz.";"budowa linii  kablowej";"nowe";"2012-11-20";"39515/12";"gru-19";"2012-12-21";2012;11;"2012-11-01";24;16,9363203;51,1475307
"13415";3474;"";"2012-12-21";"Palacha Jana 9";"bud.mieszkalne jednorodzinne";"rozbudowa budynku mieszkalnego jednorodzinnego";"rozbudowa";"2012-09-28";"33445/12";"gru-20";"2012-12-21";2012;9;"2012-09-01";61;17,1275958;51,1416112
"13416";3475;"";"2012-12-21";"Kêpiñska 3 ";"bud.przemys³owe";"budowa wieloastymentowej wytwórni betonów";"nowe";"2012-11-02";"37538/12";"gru-21";"2012-12-21";2012;11;"2012-11-01";36;17,033485;51,144704
"13417";3476;"";"2012-12-27";"So³tysowicka 19A ";"bud.biurowe";"umorzenie";"przebudowa";"2012-07-05";"23293/12";"gru-22";"2012-12-27";2012;7;"2012-07-01";126;17,071057;51,1407049
"13418";3477;"";"2012-12-27";"Kolejowa 34A";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"przebudowa";"2012-11-28";"40390/12";"gru-28";"2012-12-27";2012;11;"2012-11-01";22;17,0183351;51,102195
"13419";3478;"";"2012-12-27";"Jeziorowa";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"odmowa";"nowe";"2012-10-26";"36722/12";"gru-35";"2012-12-27";2012;10;"2012-10-01";45;17,1022629;51,1642723
"13420";3479;"";"2012-12-28";"Kasprzaka Marcina 8 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"inst.wewnêtrzna";"2012-10-08";"34315/12";"gru-39";"2012-12-28";2012;10;"2012-10-01";60;17,0968429;51,1085166
"13421";3480;"";"2012-12-28";"Dmowskiego Romana 17";"bud.hoteli";"przebudowa budynku na hotel";"przebudowa";"2012-05-21";"17053/12";"gru-41";"2012-12-28";2012;5;"2012-05-01";160;17,0204951;51,1176663
"13422";3481;"";"2012-12-28";"Rostafiñskiego Józefa 9";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania";"inst.wewnêtrzna";"2012-12-04";"41190/12";"gru-42";"2012-12-28";2012;12;"2012-12-01";19;17,0342652;51,1198519
"13423";3482;"";"2012-12-28";"Lewa 2";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego z funkcj¹ us³ugow¹";"nowe";"2012-10-15";"35362/12";"gru-43";"2012-12-28";2012;10;"2012-10-01";55;16,919214;51,140572
"13424";3483;"";"2012-12-28";"Bora-Komorowskiego T. Gen";"bud.przemys³owe";"rozbudowa obiektu produkcyjnego o powiêkszenie doku roz³adunkowego wraz z przebud. wiatro³apu oraz pomieszczeñ socjalnych";"rozbudowa";"2012-10-15";"35233/12";"gru-45";"2012-12-28";2012;10;"2012-10-01";55;17,1177696;51,1532128
"13425";3484;"";"2012-12-28";"Ukryta 12";"bud.o trzech i wiêcej mieszkaniach";"przebudowa i remont balkonów w budynku mieszkalnym wielorodzinnym";"przebudowa";"2012-11-26";"40224/12";"gru-46";"2012-12-28";2012;11;"2012-11-01";25;17,0538749;51,1174279
"13426";3485;"";"2012-12-28";"Przeskok 4";"bud.o trzech i wiêcej mieszkaniach";"rozbudowa wewnêtrznej instalacji gazowej i co w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2012-11-13";"38712/12";"gru-47";"2012-12-28";2012;11;"2012-11-01";34;17,046661;51,119409
"13427";3486;"";"2012-12-28";"Rynek 59";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu handlowo-gastronomicznego";"przebudowa";"2012-12-11";"42016/12";"gru-49";"2012-12-28";2012;12;"2012-12-01";14;17,0311249;51,1110486
"13428";3487;"";"2012-12-28";"Jackowskiego Maksymiliana 40 ";"";"monta¿ wewnêtrznej instalacji gazu";"";"2012-11-02";"37547/12";"gru-57";"2012-12-28";2012;11;"2012-11-01";41;17,1095095;51,1046827
"13429";3488;"";"2012-12-28";"Sosnowiecka";"ruroci¹gi kanalizac.sieci rozdzielczej";"budowa odcinka sieci kanalizacji sanitarnej";"nowe";"2012-11-07";"37990/12";"gru-58";"2012-12-28";2012;11;"2012-11-01";38;17,0898725;51,0692797
"13430";3489;"";"2012-12-31";"Stwosza Wita 22-23 ";"bud.hoteli";"przebudowa wejœcia do restauracji hotelu";"przebudowa";"2012-11-13";"38686/12";"gru-67";"2012-12-31";2012;11;"2012-11-01";35;17,0377475;51,1092521
"13431";3490;"";"2012-12-31";"So³tysowicka 21G ";"zbiorniki,silosy i bud.magazynowe";"monta¿ wewnêtrznej instalacji gazuowej w budynku magazynowo-biurowym";"inst.wewnêtrzna";"2012-12-05";"41294/12";"gru-68";"2012-12-31";2012;12;"2012-12-01";19;17,073698;51,14037
"13432";3491;"";"2012-12-31";"Mikulicza-Radeckiego Jana  6";"bud.biurowe";"remont i przebudowa budynku biurowego dla potrzeb studium jêzyków obcych";"przebudowa";"2012-12-27";"43568/12";"gru-69";"2012-12-31";2012;12;"2012-12-01";3;17,0671888;51,1123235
"13433";3492;"";"2012-12-31";"Jarociñska 25 ";"bud.przemys³owe";"budowa budynku us³ug poligraficznych";"nowe";"2012-08-31";"30202/12";"gru-73";"2012-12-31";2012;8;"2012-08-01";87;16,99484;51,142547
"13434";3493;"";"2012-12-31";"Legnicka 40 ";"bud.szpitali i zak³.opieki medycznej";"przebudowa i remont zagospodarowania terenu centrum";"przebudowa";"2012-12-20";"43322/12";"gru-74";"2012-12-31";2012;12;"2012-12-01";8;17,0031291;51,1136302
"13435";3494;"";"2012-12-31";"£êczycka 5";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2012-10-31";"37279/12";"gru-75";"2012-12-31";2012;10;"2012-10-01";44;17,0129641;51,1198021
"13436";3495;"";"2012-12-31";"Roosevelta Franklina 26";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2012-11-28";"40474/12";"gru-76";"2012-12-31";2012;11;"2012-11-01";24;17,0417269;51,1233436
"13437";3496;"";"2012-12-31";"Barlickiego Norberta 22";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i ciep³ej wody u¿ytkowej w mieszkaniu";"inst.wewnêtrzna";"2012-10-26";"36815/12";"gru-80";"2012-12-31";2012;10;"2012-10-01";47;17,0492008;51,1225169
"13438";3497;"";"2012-12-31";"Cha³ubiñskiego Tytusa 2";"bud.szpitali i zak³.opieki medycznej";"";"przebudowa";"2012-12-21";"43429/12";"gru-81";"2012-12-31";2012;12;"2012-12-01";7;17,0657577;51,1100511
"13439";3498;"";"2012-12-31";"Curie-Sk³odowskiej Marii  66 ";"bud.szpitali i zak³.opieki medycznej";"";"przebudowa";"2012-12-21";"43431/12";"gru-82";"2012-12-31";2012;12;"2012-12-01";7;17,067528;51,1092522
"13440";3499;"";"2012-12-31";"Krasiñskiego Zygmunta 60";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazowa z monta¿em dwufunkcyjnego kot³a gaz dla porzeb c.o. i c.w.u w lok mieszkalnym";"inst.wewnêtrzna";"2012-12-13";"42557/12";"gru-85";"2012-12-31";2012;12;"2012-12-01";13;17,0421808;51,1037196
"13441";3500;"";"2012-12-31";"Rzemieœlnicza 14A";"bud.mieszkalne jednorodzinne";"umorzenie postêpowania";"nowe";"2012-10-18";"35821/12";"gru-87";"2012-12-31";2012;10;"2012-10-01";53;17,007949;51,1720569
"13442";3501;"";"2012-12-31";"Browarna 4";"bud.o trzech i wiêcej mieszkaniach";"monta¿ odcinka wewnêtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2012-10-31";"37378/12";"gru-88";"2012-12-31";2012;10;"2012-10-01";44;17,05015;51,130418
"13443";3502;"";"2012-12-31";"Góralska 5";"zbiorniki,silosy i bud.magazynowe";"umorzenie";"inst.wewnêtrzna";"2012-12-05";"41369/12";"gru-89";"2012-12-31";2012;12;"2012-12-01";19;17,0023325;51,109062
"13444";3503;"";"2012-12-31";"Trzebnicka 32";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego nr 6 w budynku mieszkalnym wielorodzinnym";"przebudowa";"2012-12-06";"41522/12";"gru-90";"2012-12-31";2012;12;"2012-12-01";18;17,035633;51,123399
"13445";1;"";"";"Rychtalska B20+B865";"linie elektroener.i telekom.rozdzielcz.";"budowa sieci teletachnicznych kana³ów kablowych";"nowe";"2012-10-30";"37211/12";"13-sty";"2013-01-02";2012;10;"2012-10-01";47;17,046672;51,1293233
"13446";2;"";"";"Bema Józefa Gen. 6 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"inst.wewnêtrzna";"2012-11-15";"38993/12";"13-mar";"2013-01-02";2012;11;"2012-11-01";35;17,0423455;51,1168602
"13447";3;"";"";"Gagarina Jurija 40-66 ";"ruroci¹gi gazu sieci rozdzielczej";"odmowa";"nowe";"2012-10-09";"34548/12";"13-kwi";"2013-01-02";2012;10;"2012-10-01";62;16,9349638;51,0952968
"13448";4;"";"";"Rynek 26";"bud.handlowo-uslugowe";"przebudowa wentylacji w lokalu";"przebudowa";"2012-10-23";"36294/12";"13-cze";"2013-01-02";2012;10;"2012-10-01";52;17,032349;51,1090904
"13449";5;"";"";"W³odkowica Paw³a 5A ";"obiek.budowl.wpisane do rej.zabytków,    archeol.dobra";"przebudowa piwnicy w synagodze ""pod bia³ym bocianem""";"przebudowa";"2012-10-11";"35026/12";"13-lip";"2013-01-02";2012;10;"2012-10-01";60;17,0254545;51,1084109
"13450";6;"";"";"Kluczborska 29";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej dla lokalu mieszkalnego";"inst.wewnêtrzna";"2012-11-29";"40557/12";"13-wrz";"2013-01-03";2012;11;"2012-11-01";26;17,0481064;51,1220806
